Step,Training loss,Reward,Reward std,Completion length,Kullback-Leibler divergence 
401,0.0021,0.443333,1.087452,254.333344,0.053343
402,0.0021,1.788333,1.295537,270.166687,0.052093
403,0.0018,-0.343667,0.788823,389.166687,0.043893
404,0.0032,0.484167,0.335729,235.166672,0.079083
405,0.002,0.634,0.862309,340.833344,0.049644
406,0.0033,2.244333,1.017367,121.166672,0.081753
407,0.0039,0.987833,1.021203,138.833344,0.098031
408,0.0021,0.267333,0.183182,351.666687,0.052374
409,0.0019,0.464,0.829887,403,0.047035
410,0.0033,2.709,0.084645,116.5,0.082447
411,0.0031,0.779667,0.964522,191.5,0.077946
412,0.0032,2.261,0.783436,149.833344,0.079698
413,0.0048,1.448833,1.018296,88.833336,0.1193
414,0.0041,0.574667,1.060261,165.166672,0.102334
415,0.002,1.547667,1.158859,208,0.049863
416,0.0027,2.345167,0.893953,119.666672,0.067775
417,0.0039,0.362333,0.361161,259.666687,0.097452
418,0.0032,0.700833,0.043737,101.166672,0.079343
419,0.0031,0.242833,0.249165,198.166672,0.076983
420,0.0021,1.5655,1.204238,213.333344,0.052029
421,0.0249,1.038833,1.352819,240.666672,0.623209
422,0.0039,0.212,0.282863,275,0.097844
423,0.0026,2.319,0.996262,189.833344,0.064799
424,0.004,2.7825,0.066123,85.166672,0.09898
425,0.0028,1.306667,1.059098,139.166672,0.069854
426,0.0024,0.084333,0.112655,273.666687,0.058784
427,0.0016,2.708833,0.071948,118.333336,0.040523
428,0.0029,2.623333,0.175325,141.833344,0.073575
429,0.0027,0.895667,0.955535,211.666672,0.068483
430,0.0021,0.377667,0.221329,279.333344,0.051364
431,0.0028,1.934667,1.187964,149.166672,0.069078
432,0.0022,1.986833,1.063278,154.833344,0.055152
433,0.0476,1.999,1.15047,107.666672,1.190752
434,0.0033,2.379833,0.821581,134.333344,0.081553
435,0.0033,2.727167,0.060085,125.5,0.083513
436,0.0026,0.2435,0.303638,286.166687,0.065092
437,0.0021,0.436167,0.31479,277,0.053515
438,0.0051,0.5295,0.323512,243.833344,0.127623
439,0.0051,1.697,1.148459,146,0.1268
440,0.0024,1.000167,0.849185,149.333344,0.059164
441,0.0021,1.111833,1.217324,286,0.053401
442,0.0033,1.7025,1.158832,125.166672,0.081495
443,0.0033,2.552833,0.121892,177.166672,0.081638
444,0.0017,0.551667,0.210993,216.5,0.042176
445,0.0041,2.149,1.027044,93.333336,0.103001
446,0.0399,2.300167,1.129276,93.333336,0.996392
447,0.0047,2.3445,0.810509,134.166672,0.116914
448,0.0037,0.808667,1.000232,243.166672,0.093099
449,0.0027,1.411667,1.270425,288.5,0.068673
450,0.003,1.947167,1.238655,190.166672,0.075167
451,0.0027,0.2705,1.411727,443.833344,0.068101
452,0.0031,0.805333,0.964411,217.5,0.077784
453,0.0025,0.273167,0.23371,405,0.061337
454,0.0055,2.2935,1.06368,166.5,0.138567
455,0.0042,0.875667,1.654896,246.166672,0.103904
456,0.0025,0.4175,0.375049,316.5,0.06301
457,0.0029,0.437333,0.279762,296.333344,0.072932
458,0.0037,1.970833,1.023957,149.833344,0.092006
459,0.0026,0.608833,1.06416,320.833344,0.064815
460,0.0021,0.357167,0.27128,291,0.053181
461,0.0029,2.6465,0.072241,154.166672,0.071449
462,0.0031,0.572667,0.996285,402,0.07676
463,0.0051,0.292833,0.288365,268.166687,0.127222
464,0.0035,1.653667,1.110578,140,0.088127
465,0.0025,1.974167,1.017743,149,0.062398
466,0.0044,0.977167,1.195984,247.166672,0.109767
467,0.0038,2.7685,0.036523,110,0.094365
468,0.0041,0.845167,0.882745,140,0.10183
469,0.0022,0.282667,0.410338,223.333344,0.054127
470,0.0019,0.565167,0.897573,333.5,0.046713
471,0.0039,1.209333,1.238739,193.166672,0.097919
472,0.0023,0.708333,0.983289,275,0.058109
473,0.0034,1.248333,1.141227,194.166672,0.085033
474,0.0029,0.3015,0.198232,367.166687,0.073597
475,0.0052,1.649333,1.189119,151.5,0.130455
476,0.0034,1.599333,1.242945,152.666672,0.085984
477,0.0029,1.637333,1.209371,157,0.071403
478,0.0039,2.369667,0.771655,117.5,0.096564
479,0.0029,1.833833,1.375612,257,0.072097
480,0.0039,0.973667,1.233567,176.333344,0.097809
481,0.003,2.636167,0.075176,128.666672,0.075748
482,0.0034,0.502333,1.077248,241.333344,0.085709
483,0.0054,2.038833,1.015055,117.5,0.135007
484,0.0077,0.3685,0.403718,254,0.191533
485,0.0031,2.019833,1.046786,153.333344,0.076776
486,0.0024,0.537167,0.215672,196.333344,0.058821
487,0.0029,1.631,1.120794,161,0.072819
488,0.0029,0.564,0.280139,233.166672,0.073487
489,0.0034,1.457,1.316112,216.333344,0.084459
490,0.0042,2.745667,0.037103,108,0.106055
491,0.0033,1.764333,1.422977,230.333344,0.081438
492,0.0031,1.640667,1.157525,167,0.078526
493,0.0059,2.464667,0.887623,79.5,0.147727
494,0.0039,0.761333,0.062717,113.666672,0.097338
495,0.0032,2.356,0.903546,130.5,0.079362
496,0.0025,1.903167,1.201014,217.666672,0.063457
497,0.0025,1.509833,1.966412,218.166672,0.062313
498,0.0026,0.6135,0.052034,169.666672,0.065605
499,0.0033,1.463833,1.28375,279.166687,0.082033
500,0.0025,1.233167,1.166384,217.833344,0.063664
501,0.0054,2.422,0.787202,101.166672,0.135691
502,0.0048,1.159167,1.130359,244.5,0.11998
503,0.0029,0.721833,2.547496,299.833344,0.072742
504,0.0021,0.9235,0.843229,184.166672,0.053691
505,0.0035,1.886833,1.217016,221.166672,0.088634
506,0.0026,0.399833,0.27455,274.333344,0.064562
507,0.0034,1.184333,1.205154,252.5,0.084168
508,0.004,2.244,0.942734,160.333344,0.101248
509,0.0034,1.6975,1.114938,140.5,0.085599
510,0.0091,1.844167,1.168266,175.5,0.227714
511,0.0025,1.1385,1.041303,262.833344,0.062611
512,0.0052,2.802834,0.040112,87.5,0.130832
513,0.0035,0.592,0.111238,185.666672,0.08633
514,0.0038,0.834,0.928864,245.833344,0.095888
515,0.0027,1.591667,1.084555,179,0.068433
516,0.0043,0.815333,0.951155,271.333344,0.107076
517,0.0028,0.916833,0.804161,197,0.069466
518,0.0047,1.081,1.293274,206.166672,0.116757
519,0.0034,2.716167,0.049801,117.5,0.085155
520,0.0024,0.520333,0.99048,327.833344,0.05935
521,0.0029,0.642,0.944197,253.833344,0.072411
522,0.0031,1.548833,1.198739,210.833344,0.076544
523,0.0028,0.552,0.909956,386.333344,0.07105
524,0.0042,1.584333,1.189892,225,0.104754
525,0.0024,1.822833,1.098646,218.5,0.059285
526,0.0029,0.325,0.287241,263.5,0.07333
527,0.0035,2.427167,0.837864,102.5,0.086428
528,0.003,1.035333,0.796461,136,0.074206
529,0.0072,2.744,0.126252,92.5,0.180307
530,0.0044,1.298333,1.161417,126.666672,0.110314
531,0.0069,2.226,1.029926,201.666672,0.172005
532,0.0028,2.619,0.0822,166.166672,0.06894
533,0.003,2.2965,1.065497,193.333344,0.075864
534,0.0178,0.57,0.638391,427,0.443759
535,0.0053,0.714,1.057258,98.666672,0.131679
536,0.0038,1.597667,1.215528,192.5,0.095177
537,0.0039,1.621667,1.216509,190.333344,0.0984
538,0.0039,2.698833,0.052784,124.166672,0.097601
539,0.0031,0.730333,0.046059,119.833336,0.078409
540,0.0029,0.835167,0.966313,263,0.072734
541,0.0053,2.398167,0.78181,120.833336,0.131977
